Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m		m   	s
46	8	25.03	10	12.68	10	1.71	N	N	N	N	N	N	15	11.04	18	35.77	18	22.21	N	N	N	N
47	8	32.88	10	23.22	10	5.23	N	N	N	N	N	N	15	25.37	18	52.06	18	28.73	N	N	N	N
48	8	40.66	10	32.62	10	8.79	N	N	N	N	N	N	15	39.60	19	8.29	18	35.34	N	N	N	N
49	8	48.37	10	41.75	10	12.39	N	N	N	N	N	N	15	53.72	19	24.45	18	42.02	N	N	N	N
50	8	56.00	10	50.85	10	16.04	N	N	N	N	N	N	16	7.73	19	40.52	18	48.78	N	N	N	N
51	9	3.56	10	59.94	10	19.72	N	N	N	N	N	N	16	21.64	19	56.45	18	55.62	N	N	N	N
52	9	11.05	11	9.01	10	23.44	N	N	N	N	N	N	16	35.43	20	12.28	19	2.53	N	N	N	N
53	9	18.47	11	18.05	10	27.20	N	N	N	N	N	N	16	49.12	20	28.08	19	9.51	N	N	N	N
54	9	25.81	11	27.07	10	31.00	N	N	N	N	N	N	17	2.70	20	43.86	19	16.56	N	N	N	N
55	9	33.08	11	36.06	10	34.83	N	N	N	N	N	N	17	16.17	20	59.63	19	23.67	N	N	N	N
56	9	40.28	11	45.01	10	38.69	N	N	N	N	N	N	17	29.54	21	15.39	19	30.85	N	N	N	N
57	9	47.40	11	53.92	10	42.59	N	N	N	N	N	N	17	42.79	21	31.13	19	38.09	N	N	N	N
58	9	54.46	12	2.82	10	46.52	N	N	N	N	N	N	17	55.94	21	46.86	19	45.39	N	N	N	N
59	10	1.43	12	11.69	10	50.48	N	N	N	N	N	N	18	8.97	22	2.58	19	52.75	N	N	N	N
60	10	8.34	12	20.55	10	54.46	N	N	N	N	N	N	18	21.89	22	18.28	20	0.17	N	N	N	N
61	10	15.17	12	29.39	10	58.47	N	N	N	N	N	N	18	34.70	22	33.96	20	7.63	N	N	N	N
62	10	21.93	12	38.22	11	2.52	N	N	N	N	N	N	18	47.39	22	49.63	20	15.15	N	N	N	N
63	10	28.62	12	47.03	11	6.58	N	N	N	N	N	N	18	60.00	23	5.27	20	22.72	20	N	N	N
64	10	35.23	12	55.83	11	10.67	N	N	N	N	N	N	19	12.45	23	20.89	20	30.34	20	N	N	N
65	10	41.78	13	4.60	11	14.78	N	N	N	N	N	N	19	24.80	23	36.48	20	38.00	20	N	N	N
66	10	48.25	13	13.36	11	18.92	N	N	N	N	N	N	19	37.05	23	52.04	20	45.70	20	N	N	N
67	10	54.65	13	22.09	11	23.08	N	N	N	N	N	N	19	49.18	24	7.57	20	53.45	20	N	N	N
68	11	0.97	13	30.80	11	27.26	N	N	N	N	N	N	20	1.19	24	23.06	21	1.24	21	N	N	N
