Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s
168	999	999	25	4	999	999	21	16	999	999	20	8	999	999	45	55	999	999	999	999	27	13
169	999	999	25	10	999	999	21	20	999	999	20	9	999	999	46	5	999	999	999	999	27	14
170	999	999	25	15	999	999	21	25	999	999	20	10	999	999	46	15	999	999	999	999	27	14
171	999	999	25	20	999	999	21	29	999	999	20	10	999	999	46	25	999	999	999	999	27	15
172	999	999	25	25	999	999	21	34	999	999	20	11	999	999	46	35	999	999	999	999	27	15
173	999	999	25	29	999	999	21	38	999	999	20	11	999	999	46	44	999	999	999	999	27	16
174	999	999	25	34	999	999	21	42	999	999	20	11	999	999	46	54	999	999	999	999	27	16
175	999	999	25	39	999	999	21	47	999	999	20	12	999	999	47	4	999	999	999	999	27	16
176	999	999	25	44	999	999	21	51	999	999	20	12	999	999	47	13	999	999	999	999	27	16
177	999	999	25	49	999	999	21	56	999	999	20	12	999	999	47	23	999	999	999	999	27	16
178	999	999	25	53	999	999	22	0	999	999	20	12	999	999	47	32	999	999	999	999	27	17
179	999	999	25	58	999	999	999	999	999	999	20	13	999	999	47	42	999	999	999	999	27	17
180	999	999	26	3	999	999	999	999	999	999	20	13	999	999	47	51	999	999	999	999	27	17
